Strategy,IC_mean,Rank_IC_mean,ICIR,Rank_ICIR,Ann_Return_Net,Sharpe_Net,Max_Drawdown,Win_Rate,Avg_Turnover
Regime-GP Soft (Ours),0.0274,0.0381,0.1381,0.1896,7.52%,0.5571,-23.42%,53.5%,39.59%
Regime-GP Hard (Ours),0.0274,0.0381,0.1381,0.1896,7.52%,0.5571,-23.42%,53.5%,39.59%
Regime-GP Ensemble (Ours),0.0271,0.0386,0.1371,0.1926,7.68%,0.5593,-24.40%,54.7%,38.37%
Vanilla GP,0.0102,0.0130,0.0508,0.0838,1.62%,0.4417,-4.82%,20.9%,8.31%
GP Alpha (Vanilla Best-1),0.0129,0.0154,0.0637,0.0936,0.48%,0.1742,-4.82%,19.8%,9.07%
AFM Adaptive Fusion,0.0206,0.0308,0.1053,0.1606,4.08%,0.2785,-19.34%,51.2%,77.38%
GP (AFM-Bear only),0.0272,0.0358,0.1396,0.1782,6.43%,0.4822,-23.42%,51.2%,34.65%
GP (AFM-Bull only),-0.0029,-0.0078,-0.0135,-0.0419,-4.08%,-0.2755,-43.64%,50.0%,43.02%
Momentum (12-1M),0.0028,0.0059,0.0122,0.0250,-2.57%,-0.1369,-40.65%,47.7%,24.46%
Mean Reversion,0.0185,0.0221,0.0932,0.1125,4.46%,0.2981,-20.19%,57.0%,82.23%
Low Volatility,-0.0390,-0.0265,-0.1592,-0.1186,-10.24%,-0.5454,-65.71%,43.0%,29.46%
Trend (200-DMA),-0.0238,-0.0243,-0.0945,-0.0989,-2.51%,-0.1327,-46.94%,50.0%,32.11%
