Strategy,Ann Return,Sharpe,Rank IC,Max Drawdown
Regime-GP Ensemble (Ours),+7.68%,0.56,0.0386,-24.40%
Regime-GP Soft (Ours),+7.52%,0.56,0.0381,-23.42%
Regime-GP Hard (Ours),+7.52%,0.56,0.0381,-23.42%
GP (AFM-Bear only),+6.43%,0.48,0.0358,-23.42%
GP (AFM-Bull only),-4.08%,-0.28,-0.0078,-43.64%
AFM Adaptive Fusion,+4.08%,0.28,0.0308,-19.34%
GP Alpha (Vanilla Best-1),+0.48%,0.17,0.0154,-4.82%
Vanilla GP,+1.62%,0.44,0.0130,-4.82%
Mean Reversion,+4.46%,0.30,0.0221,-20.19%
Momentum (12-1M),-2.57%,-0.14,0.0059,-40.65%
Low Volatility,-10.24%,-0.55,-0.0265,-65.71%
Trend (200-DMA),-2.51%,-0.13,-0.0243,-46.94%
